id,label,layer,dominant_mnemonic,icon_design,detail_design,physics_idea,icon_labels,detail_labels,avoid,icon_caption,detail_caption
8.5,Charge conservation,8,Local continuity of charge and current,"Simplify the detailed diagram to a small spacetime box with charge dots and current arrows crossing the boundary, labelled J.",Design the detailed graphic as a local spacetime volume containing charge density rho and boundary current arrows J. Show a before/after or inflow/outflow balance with a compact continuity tag partial_mu J^mu = 0. The lesson is local bookkeeping: changes inside are exactly accounted for by current through the boundary.,Charge conservation is local bookkeeping: charge cannot appear or vanish; changes in density are balanced by current flow.,J,"rho, J, partial_mu J^mu = 0","A global battery icon, isolated static charge, charge disappearing, or conservation shown only as a whole-universe total with no local flux.",Charge dots leave a local box only through current arrows.,The continuity equation says local charge changes are balanced by current flow through the boundary.
9.4,Energy density of EM field,9,Local energy stored in electric and magnetic fields,Simplify the detailed diagram to one glowing field cell containing E and B glyphs plus a gold energy-density fill labelled u.,"Design the detailed graphic as a small grid of local electromagnetic field cells, each containing blue E and green B cues and a gold fill level representing energy density u. Highlight one cell with a callout u_EM while neighbouring cells show different fill levels. Keep this about stored local density, not transport.",The electromagnetic field carries local energy density built from electric and magnetic field strengths.,"u, E, B","u_EM, E, B","A battery, particle kinetic energy, Poynting-flow arrows as the main cue, or stress-tensor face arrows.",A field cell stores energy density u in E and B.,Neighbouring cells with E/B glyphs indicate that electromagnetic energy density is local and spatially distributed.
9.2,Momentum density (Poynting vector),9,Energy-momentum flow from crossed E and B fields,Simplify the detailed diagram to crossed E and B arrows producing a bold gold S arrow.,"Design the detailed graphic as a local field region with E and B perpendicular glyphs at several points, each producing parallel Poynting arrows S in the propagation/flow direction. Add one compact cross-product cue E x B -> S if readable. The S arrows should clearly indicate energy-momentum flux, distinct from static energy density.",The Poynting vector represents the flow of electromagnetic energy and momentum carried by the field.,"E, B, S","E, B, S, E x B","Static energy-density cells, stress tensor grids, a generic wave with no E/B cross-product cue, or momentum flow detached from fields.",Crossed E and B arrows produce a Poynting vector S.,Repeated E-B-S motifs show electromagnetic energy-momentum flow density through the field region.
9.3,Stress-energy of EM field,9,"Electromagnetic density, flux, and stress in one tensor",Simplify the detailed diagram to a tensor block T_EM with E/B glyphs inside and arrows on its faces.,"Design the detailed graphic as an electromagnetic stress-energy tensor block T_EM with separate visual regions for energy density, Poynting flux, and stresses: gold fill inside, gold flow arrow through one face, and blue/green pressure or shear arrows on other faces. Include tiny E/B glyphs to identify the field source of the tensor.","The electromagnetic stress-energy tensor summarizes energy density, momentum flow, and mechanical stresses carried by the electromagnetic field.",T_EM,"T_EM, u, S, stress, E, B","Only an energy-density picture, only a Poynting vector, a full component matrix, or mechanical stress imagery with no electromagnetic origin.",A T_EM block combines field glyphs with face arrows.,"The tensor block summarizes energy density, Poynting flux, and electromagnetic stresses in one object."
9.1,Energy--momentum tensor,9,Local density and flux of energy-momentum,"Simplify the detailed diagram to a T^munu tensor tile with one density cell and one flux cell highlighted, plus boundary arrows.","Design the detailed graphic as a spacetime volume with a nearby T^munu tile whose rows/columns are hinted as energy-momentum components. Arrows crossing the volume boundary show fluxes, while a compact partial_mu T^munu = 0 tag states local conservation. Keep it generic, not specifically electromagnetic, so it can cover matter and fields.","The energy-momentum tensor packages energy density, momentum density, fluxes, and stresses; its divergence expresses local conservation.",T^munu,"T^munu, partial_mu T^munu = 0","A purely electromagnetic E/B icon, a dense 4x4 matrix, global-only conservation imagery, or hiding the local flux-through-boundary idea.",A T^munu tile highlights density and flux cells.,Boundary arrows and the divergence condition represent local conservation of energy and momentum.
10.2,Electromagnetic waves,10,Coupled E and B oscillations propagating at light speed,Simplify the detailed diagram to blue E and green B sinusoidal waves travelling together with a gold propagation arrow c.,"Design the detailed graphic as a propagating electromagnetic wave packet with mutually perpendicular E and B oscillations, wavefront marks, a direction arrow labelled c, and a smaller Poynting arrow S in the same propagation direction. Use phase alignment and colour to show the fields are coupled parts of one wave.",Electromagnetic waves are self-propagating coupled electric and magnetic field oscillations travelling at light speed.,"E, B, c","E, B, c, S","A single scalar wave, water-wave imagery, source charges as the focus, or waves where E and B appear unrelated.",Coupled E and B waves propagate in the c direction.,Wavefront marks and the S arrow show that electromagnetic waves carry energy-momentum at light speed.
10.1,Wave equation,10,Operator law producing propagating solutions,Simplify the detailed diagram to a box operator acting on A_mu and producing an outgoing sinusoidal wave.,"Design the detailed graphic as a compact differential-operator tile square/box acting on A_mu. Show two outputs: with source J_mu it links to a sourced disturbance, and in the source-free branch it produces a clean propagating wave. Keep the operator-to-solution relationship central and avoid writing a full PDE.","The wave equation describes how the potential or field propagates, with source terms producing waves and source-free regions supporting free propagation.","box, A_mu","box A_mu, J_mu, wave","A generic sine wave with no operator cue, Maxwell source law alone, dense differential notation, or a particle trajectory.",A wave operator acting on A produces a propagating wave.,"The source branch and free-wave branch express how the wave equation connects sources, potentials, and propagation."
10.3,Radiation reaction,10,Accelerating charge emits radiation and recoils,"Simplify the detailed diagram to an accelerating charge, outgoing wavefronts, and a small recoil arrow opposite emitted momentum.","Design the detailed graphic as a charged particle on a curved accelerated path, with outgoing electromagnetic wavefronts carrying a gold energy-momentum arrow away. Add a red recoil/back-reaction arrow on the charge and a slightly altered subsequent path. The viewer should see emission causes a self-effect, not just ordinary Lorentz-force deflection.",Radiation reaction is the back-reaction on an accelerating charge because emitted electromagnetic waves carry away energy and momentum.,"q, recoil","q, a, radiation, recoil","A stationary charge field, simple external Lorentz force, waves without recoil, or recoil with no emitted energy-momentum.",An accelerating charge emits waves and recoils.,"Radiated energy-momentum leaves in the wave, producing a back-reaction on the charge trajectory."
11.1,Lorentz invariance,11,Same physical law in every inertial frame,Simplify the detailed diagram to unprimed and primed frames feeding one unchanged law tile with a check mark.,"Design the detailed graphic as two inertial coordinate systems, black x/ct and blue tilted x'/ct', both pointing to the same compact law/equation tile. Add an invariant badge or unchanged-form ring around the tile. If an example event appears, place it generically away from 45 degrees and keep it secondary; the law's unchanged form is the subject.",Lorentz invariance means the laws or equations of physics keep the same form under Lorentz transformations.,"x, ct, x', ct', law","x, ct, x', ct', invariant law","A mere coordinate transformation with no unchanged law, gauge invariance imagery, a specific particle trajectory as the main object, or accidental 45-degree event placement.",Primed and unprimed frames feed the same law tile.,Lorentz invariance means the equation keeps its form under changes between inertial frames.
11.2,Gauge fixing,11,Choosing one representative from gauge-equivalent potentials,"Simplify the detailed diagram to several faint A_mu representatives passing through a selector into one bold chosen A_mu, with F unchanged in the background.","Design the detailed graphic as a bundle of gauge-equivalent potential representatives A_mu, A'_mu, and A''_mu that all correspond to the same faint F_mu_nu tile. A grey selector or gauge condition chooses one clean representative for calculation. The unchanged F tile should remain visible behind both sides so gauge fixing reads as choice of description, not change of physics.",Gauge fixing chooses one convenient representative among many gauge-equivalent vector potentials that describe the same electromagnetic field.,A_mu,"A_mu, F_mu_nu, gauge condition","Confusing gauge fixing with Lorenz gauge only, changing F, making it look like a dynamical force, or losing the many-equivalent-to-one-chosen structure.",Many gauge-equivalent potentials pass through a selector to one A.,Gauge fixing chooses one convenient potential representative while the physical field F remains unchanged.
